geoid,geoid20,year,denom_total_pop,tothomeless_count,totshelt_count,totunshelt_count
1400000US06037137301,6037137301,2020,2344,4,0,4
1400000US06037137302,6037137302,2020,4493,2,0,2
1400000US06037137401,6037137401,2020,4345,0,0,0
1400000US06037137402,6037137402,2020,4977,0,0,0
1400000US06037137501,6037137501,2020,4397,15,0,15
1400000US06037137502,6037137502,2020,4627,6,0,6
1400000US06037137504,6037137504,2020,1960,0,0,0
1400000US06037138000,6037138000,2020,4501,0,0,0
1400000US06037139001,6037139001,2020,5389,3,0,3
1400000US06037139200,6037139200,2020,5869,3,0,3
1400000US06037139301,6037139301,2020,4603,13,0,13
1400000US06037139302,6037139302,2020,5389,3,0,3
1400000US06037139303,6037139303,2020,4424,7,0,7
1400000US06037139401,6037139401,2020,2871,15,0,15
1400000US06037139402,6037139402,2020,2899,18,0,18
1400000US06037139502,6037139502,2020,3021,7,0,7
1400000US06037139504,6037139504,2020,4079,2,0,2
1400000US06037139505,6037139505,2020,2865,0,0,0
1400000US06037139506,6037139506,2020,3091,0,0,0
1400000US06037139600,6037139600,2020,5019,25,0,25
1400000US06037139701,6037139701,2020,5520,16,0,16
1400000US06037139703,6037139703,2020,3016,0,0,0
1400000US06037139704,6037139704,2020,4045,0,0,0
1400000US06037139705,6037139705,2020,1938,0,0,0
1400000US06037139801,6037139801,2020,3227,0,0,0
1400000US06037139802,6037139802,2020,4115,0,0,0
1400000US06037141101,6037141101,2020,4857,7,0,7
1400000US06037141102,6037141102,2020,2986,8,0,8
1400000US06037141201,6037141201,2020,4355,15,0,15
1400000US06037141202,6037141202,2020,2816,0,0,0
1400000US06037141303,6037141303,2020,3309,5,0,5
1400000US06037141304,6037141304,2020,2952,8,0,8
1400000US06037141305,6037141305,2020,3240,3,0,3
1400000US06037141306,6037141306,2020,2783,3,0,3
1400000US06037141400,6037141400,2020,4818,0,0,0
1400000US06037141500,6037141500,2020,2894,0,0,0
1400000US06037141600,6037141600,2020,4329,0,0,0
1400000US06037141700,6037141700,2020,2998,1,0,1
1400000US06037143101,6037143101,2020,3364,29,0,29
1400000US06037143102,6037143102,2020,961,8,0,8
1400000US06037143200,6037143200,2020,4295,77,0,77
1400000US06037143301,6037143301,2020,2398,8,0,8
1400000US06037143302,6037143302,2020,4291,15,0,15
1400000US06037143401,6037143401,2020,4066,15,0,15
1400000US06037143402,6037143402,2020,2376,8,0,8
1400000US06037143500,6037143500,2020,4977,5,0,5
1400000US06037143602,6037143602,2020,4503,6,0,6
1400000US06037143603,6037143603,2020,2361,2,0,2
1400000US06037143605,6037143605,2020,1977,27,0,27
1400000US06037143606,6037143606,2020,1395,19,0,19
1400000US06037143700,6037143700,2020,3827,35,0,35
1400000US06037143801,6037143801,2020,3066,8,0,8
1400000US06037143802,6037143802,2020,2495,6,0,6
1400000US06037143901,6037143901,2020,4145,42,0,42
1400000US06037143902,6037143902,2020,2931,2,0,2
1400000US06037181000,6037181000,2020,0,25,0,25
1400000US06037181300,6037181300,2020,0,25,0,25
1400000US06037181400,6037181400,2020,4511,27,0,27
1400000US06037181500,6037181500,2020,0,5,0,5
1400000US06037181600,6037181600,2020,4691,9,0,9
1400000US06037183101,6037183101,2020,0,31,0,31
1400000US06037183103,6037183103,2020,4520,27,0,27
1400000US06037183104,6037183104,2020,0,3,0,3
1400000US06037183220,6037183220,2020,3996,1,0,1
1400000US06037183221,6037183221,2020,3326,2,0,2
1400000US06037183222,6037183222,2020,3549,5,0,5
1400000US06037183300,6037183300,2020,3299,6,0,6
1400000US06037183401,6037183401,2020,2366,8,0,8
1400000US06037183402,6037183402,2020,3192,9,0,9
1400000US06037183510,6037183510,2020,2804,4,0,4
1400000US06037183520,6037183520,2020,3890,12,0,12
1400000US06037183610,6037183610,2020,3348,30,0,30
1400000US06037183620,6037183620,2020,3178,28,0,28
1400000US06037183701,6037183701,2020,3807,30,0,30
1400000US06037183702,6037183702,2020,2911,8,0,8
1400000US06037183810,6037183810,2020,4373,15,0,15
1400000US06037183820,6037183820,2020,3902,15,0,15
1400000US06037185101,6037185101,2020,2266,15,0,15
1400000US06037185102,6037185102,2020,4068,28,0,28
1400000US06037185202,6037185202,2020,4088,13,0,13
1400000US06037185203,6037185203,2020,3591,4,0,4
1400000US06037185204,6037185204,2020,1951,1,0,1
1400000US06037185310,6037185310,2020,3327,6,0,6
1400000US06037185320,6037185320,2020,2932,27,0,27
1400000US06037186100,6037186100,2020,0,8,0,8
1400000US06037186201,6037186201,2020,3421,6,0,6
1400000US06037186202,6037186202,2020,2056,7,0,7
1400000US06037186203,6037186203,2020,2883,7,0,7
1400000US06037186301,6037186301,2020,0,1,0,1
1400000US06037186302,6037186302,2020,5248,23,0,23
1400000US06037186401,6037186401,2020,0,46,0,46
1400000US06037186403,6037186403,2020,2838,17,0,17
1400000US06037186404,6037186404,2020,2802,9,0,9
1400000US06037187101,6037187101,2020,0,36,0,36
1400000US06037187102,6037187102,2020,3339,29,0,29
1400000US06037187200,6037187200,2020,2855,19,0,19
1400000US06037187300,6037187300,2020,3376,36,0,36
1400000US06037188100,6037188100,2020,0,33,0,33
1400000US06037188201,6037188201,2020,3339,11,0,11
1400000US06037188202,6037188202,2020,2338,0,0,0
1400000US06037188300,6037188300,2020,3576,8,0,8
1400000US06037189101,6037189101,2020,2485,16,0,16
1400000US06037189102,6037189102,2020,3252,8,0,8
1400000US06037189201,6037189201,2020,3537,27,0,27
1400000US06037189202,6037189202,2020,2394,4,0,4
1400000US06037189300,6037189300,2020,3111,0,0,0
1400000US06037189400,6037189400,2020,3497,12,7,5
1400000US06037189501,6037189501,2020,2301,6,0,6
1400000US06037189502,6037189502,2020,1673,4,0,4
1400000US06037189600,6037189600,2020,3675,39,0,39
1400000US06037189702,6037189702,2020,2097,18,0,18
1400000US06037189703,6037189703,2020,2929,33,0,33
1400000US06037189704,6037189704,2020,835,9,0,9
1400000US06037189801,6037189801,2020,2214,3,0,3
1400000US06037189802,6037189802,2020,1720,3,0,3
1400000US06037189903,6037189903,2020,2148,0,0,0
1400000US06037189904,6037189904,2020,2488,36,0,36
1400000US06037189905,6037189905,2020,2241,19,0,19
1400000US06037189906,6037189906,2020,2912,27,14,12
1400000US06037189907,6037189907,2020,2331,21,12,10
1400000US06037190101,6037190101,2020,1728,20,0,20
1400000US06037190102,6037190102,2020,2896,34,0,34
1400000US06037190201,6037190201,2020,2445,38,0,38
1400000US06037190202,6037190202,2020,3284,22,0,22
1400000US06037190302,6037190302,2020,3386,63,0,63
1400000US06037190303,6037190303,2020,2309,43,0,43
1400000US06037190401,6037190401,2020,3052,8,0,8
1400000US06037190402,6037190402,2020,2460,15,0,15
1400000US06037190510,6037190510,2020,4568,53,0,53
1400000US06037190520,6037190520,2020,3738,17,0,17
1400000US06037190701,6037190701,2020,2205,116,45,72
1400000US06037190702,6037190702,2020,996,53,20,32
1400000US06037190801,6037190801,2020,2605,142,52,90
1400000US06037190802,6037190802,2020,2844,90,0,90
1400000US06037190901,6037190901,2020,4629,123,84,39
1400000US06037190902,6037190902,2020,4002,28,0,28
1400000US06037191000,6037191000,2020,4256,265,92,173
1400000US06037191110,6037191110,2020,3754,27,0,27
1400000US06037191120,6037191120,2020,4247,65,0,65
1400000US06037191201,6037191201,2020,4320,16,0,16
1400000US06037191203,6037191203,2020,2453,24,0,24
1400000US06037191204,6037191204,2020,2198,2,0,2
1400000US06037191301,6037191301,2020,2574,21,0,21
1400000US06037191302,6037191302,2020,2171,40,0,40
1400000US06037191410,6037191410,2020,5024,20,0,20
1400000US06037191420,6037191420,2020,3539,43,0,43
1400000US06037191500,6037191500,2020,5663,4,0,4
1400000US06037191610,6037191610,2020,4019,42,0,42
1400000US06037191620,6037191620,2020,2923,17,0,17
1400000US06037191710,6037191710,2020,2670,11,0,11
1400000US06037191720,6037191720,2020,3646,25,0,25
1400000US06037191810,6037191810,2020,3624,45,0,45
1400000US06037191820,6037191820,2020,3083,16,0,16
1400000US06037191901,6037191901,2020,3197,146,87,59
1400000US06037191902,6037191902,2020,2560,27,0,27
1400000US06037192001,6037192001,2020,2357,9,0,9
1400000US06037192002,6037192002,2020,2651,23,0,23
1400000US06037192300,6037192300,2020,2389,4,0,4
1400000US06037192410,6037192410,2020,3895,8,0,8
1400000US06037192420,6037192420,2020,4358,21,0,21
1400000US06037192510,6037192510,2020,3796,14,0,14
1400000US06037192520,6037192520,2020,5033,8,0,8
1400000US06037192610,6037192610,2020,4432,26,0,26
1400000US06037192620,6037192620,2020,3758,28,0,28
1400000US06037192700,6037192700,2020,3849,339,83,256
1400000US06037194101,6037194101,2020,3438,0,0,0
1400000US06037194102,6037194102,2020,3456,2,0,2
1400000US06037194200,6037194200,2020,3638,2,0,2
1400000US06037194300,6037194300,2020,3541,0,0,0
1400000US06037194401,6037194401,2020,2454,15,0,15
1400000US06037194402,6037194402,2020,3776,15,0,15
1400000US06037194500,6037194500,2020,1942,28,0,28
1400000US06037195100,6037195100,2020,5028,0,0,0
1400000US06037195201,6037195201,2020,3264,7,0,7
1400000US06037195202,6037195202,2020,3323,3,0,3
1400000US06037195300,6037195300,2020,3431,6,0,6
1400000US06037195400,6037195400,2020,4567,18,0,18
1400000US06037195500,6037195500,2020,5104,29,0,29
1400000US06037195600,6037195600,2020,3354,106,48,58
1400000US06037195710,6037195710,2020,4573,89,0,89
1400000US06037195720,6037195720,2020,2187,55,0,55
1400000US06037195802,6037195802,2020,2734,97,0,97
1400000US06037195803,6037195803,2020,2687,3,0,3
1400000US06037195804,6037195804,2020,2482,16,0,16
1400000US06037195901,6037195901,2020,2105,2,0,2
1400000US06037195902,6037195902,2020,1925,6,0,6
1400000US06037195903,6037195903,2020,2285,32,0,32
1400000US06037197200,6037197200,2020,3850,8,0,8
1400000US06037197300,6037197300,2020,3874,5,0,5
1400000US06037197410,6037197410,2020,4499,37,0,37
1400000US06037197420,6037197420,2020,3426,119,92,27
1400000US06037197500,6037197500,2020,3845,174,0,174
1400000US06037197600,6037197600,2020,2303,37,0,37
1400000US06037197700,6037197700,2020,5171,18,0,18
1400000US06037199001,6037199001,2020,879,24,7,16
1400000US06037199002,6037199002,2020,4790,125,38,87
1400000US06037199110,6037199110,2020,2612,1,0,1
1400000US06037199120,6037199120,2020,4225,36,0,36
