geoid,geoid20,year,denom_total_pop,pm25_concentration
1400000US06037122420,6037122420,2021,4503,11.52
1400000US06037123010,6037123010,2021,4027,11.53
1400000US06037123020,6037123020,2021,3250,11.53
1400000US06037123103,6037123103,2021,3808,11.48
1400000US06037123104,6037123104,2021,4416,11.51
1400000US06037123203,6037123203,2021,4094,11.52
1400000US06037123204,6037123204,2021,3129,11.52
1400000US06037123205,6037123205,2021,2492,11.52
1400000US06037123206,6037123206,2021,2572,11.52
1400000US06037123301,6037123301,2021,4530,11.53
1400000US06037123303,6037123303,2021,3087,11.57
1400000US06037123304,6037123304,2021,4362,11.52
1400000US06037123410,6037123410,2021,4181,11.59
1400000US06037123420,6037123420,2021,4408,11.57
1400000US06037123510,6037123510,2021,4795,11.59
1400000US06037123520,6037123520,2021,2816,11.58
1400000US06037123601,6037123601,2021,4803,11.57
1400000US06037123602,6037123602,2021,3659,11.65
1400000US06037123700,6037123700,2021,4435,11.54
1400000US06037123800,6037123800,2021,6018,11.5
1400000US06037123901,6037123901,2021,4696,11.5
1400000US06037123902,6037123902,2021,2668,11.53
1400000US06037124000,6037124000,2021,5219,11.55
1400000US06037124102,6037124102,2021,3551,11.55
1400000US06037124103,6037124103,2021,1950,11.53
1400000US06037124104,6037124104,2021,2492,11.53
1400000US06037124105,6037124105,2021,2538,11.53
1400000US06037124201,6037124201,2021,3348,11.52
1400000US06037124203,6037124203,2021,2384,11.55
1400000US06037124204,6037124204,2021,2192,11.55
1400000US06037124300,6037124300,2021,2988,11.51
1400000US06037124400,6037124400,2021,4858,11.52
1400000US06037124500,6037124500,2021,2925,11.65
1400000US06037124600,6037124600,2021,2691,11.62
1400000US06037124700,6037124700,2021,5539,11.59
1400000US06037124902,6037124902,2021,2706,11.52
1400000US06037124903,6037124903,2021,3499,11.55
1400000US06037125101,6037125101,2021,2948,11.54
1400000US06037125102,6037125102,2021,2944,11.54
1400000US06037125200,6037125200,2021,3907,11.53
1400000US06037125310,6037125310,2021,4313,11.55
1400000US06037125321,6037125321,2021,2093,11.56
1400000US06037125322,6037125322,2021,3013,11.56
1400000US06037125402,6037125402,2021,5040,11.53
1400000US06037125403,6037125403,2021,2102,11.53
1400000US06037125404,6037125404,2021,2864,11.53
1400000US06037125501,6037125501,2021,3052,11.54
1400000US06037125502,6037125502,2021,3488,11.55
1400000US06037125600,6037125600,2021,2811,11.67
1400000US06037127102,6037127102,2021,5779,11.68
1400000US06037127103,6037127103,2021,3109,11.61
1400000US06037127104,6037127104,2021,3821,11.68
1400000US06037127210,6037127210,2021,5838,11.99
1400000US06037127220,6037127220,2021,5045,11.81
1400000US06037127300,6037127300,2021,3809,12.08
1400000US06037127400,6037127400,2021,6558,12.3
1400000US06037127520,6037127520,2021,4870,12.06
1400000US06037127603,6037127603,2021,3068,12.33
1400000US06037127604,6037127604,2021,3157,12.44
1400000US06037127605,6037127605,2021,4329,12.33
1400000US06037127606,6037127606,2021,3322,12.21
1400000US06037127711,6037127711,2021,3588,12.08
1400000US06037127712,6037127712,2021,3560,12.12
1400000US06037127803,6037127803,2021,4790,11.78
1400000US06037127804,6037127804,2021,4352,11.89
1400000US06037127805,6037127805,2021,3627,11.85
1400000US06037127806,6037127806,2021,3293,11.85
1400000US06037127910,6037127910,2021,5097,11.78
1400000US06037127920,6037127920,2021,4716,11.64
1400000US06037128101,6037128101,2021,3735,11.64
1400000US06037128102,6037128102,2021,4625,11.74
1400000US06037128210,6037128210,2021,5008,11.73
1400000US06037128220,6037128220,2021,2912,11.66
1400000US06037128302,6037128302,2021,5000,11.85
1400000US06037128303,6037128303,2021,4176,11.84
1400000US06037128400,6037128400,2021,4502,11.9
1400000US06037128500,6037128500,2021,4108,11.74
1400000US06037128601,6037128601,2021,4369,11.74
1400000US06037128602,6037128602,2021,3472,11.68
1400000US06037128703,6037128703,2021,2896,11.66
1400000US06037128704,6037128704,2021,2914,11.66
1400000US06037128801,6037128801,2021,3419,11.92
1400000US06037128802,6037128802,2021,4670,11.79
1400000US06037128910,6037128910,2021,4657,11.78
1400000US06037131021,6037131021,2021,3526,13.17
1400000US06037131022,6037131022,2021,3160,13.17
1400000US06037131023,6037131023,2021,2733,14.03
1400000US06037131024,6037131024,2021,3971,14.03
1400000US06037131100,6037131100,2021,3197,12.72
1400000US06037131200,6037131200,2021,3417,13.09
1400000US06037131300,6037131300,2021,5102,13.33
1400000US06037131400,6037131400,2021,6367,13.92
1400000US06037131600,6037131600,2021,5336,12.83
1400000US06037131701,6037131701,2021,5587,13.05
1400000US06037131702,6037131702,2021,3770,13.58
1400000US06037131801,6037131801,2021,3072,14.6
1400000US06037131802,6037131802,2021,3085,14.6
1400000US06037131900,6037131900,2021,4597,13.3
1400000US06037132001,6037132001,2021,3463,13.41
1400000US06037132002,6037132002,2021,3354,13.1
1400000US06037132101,6037132101,2021,4645,12.6
1400000US06037132102,6037132102,2021,5401,12.78
1400000US06037132301,6037132301,2021,3905,13.91
1400000US06037132302,6037132302,2021,4007,13.91
1400000US06037132501,6037132501,2021,4566,14.14
1400000US06037132502,6037132502,2021,3922,13.3
1400000US06037132700,6037132700,2021,4873,14.59
1400000US06037132900,6037132900,2021,3885,13.68
1400000US06037133000,6037133000,2021,4778,13.29
1400000US06037133101,6037133101,2021,2449,13.28
1400000US06037133102,6037133102,2021,3160,13.28
1400000US06037134001,6037134001,2021,3864,11.84
1400000US06037134002,6037134002,2021,3665,11.84
1400000US06037134101,6037134101,2021,5579,12.22
1400000US06037134103,6037134103,2021,4659,11.86
1400000US06037134104,6037134104,2021,4618,12.22
1400000US06037134201,6037134201,2021,4735,11.59
1400000US06037134302,6037134302,2021,4112,10.96
1400000US06037134303,6037134303,2021,5942,11.09
1400000US06037134304,6037134304,2021,3042,11.18
1400000US06037134305,6037134305,2021,4183,11.51
1400000US06037134306,6037134306,2021,4305,11.32
1400000US06037134421,6037134421,2021,4234,10.43
1400000US06037134422,6037134422,2021,4924,10.7
1400000US06037134423,6037134423,2021,3539,10.68
1400000US06037134424,6037134424,2021,2916,10.26
1400000US06037134520,6037134520,2021,6065,11.6
1400000US06037134521,6037134521,2021,3691,11.68
1400000US06037134522,6037134522,2021,4167,11.32
1400000US06037134710,6037134710,2021,5836,12.11
1400000US06037134720,6037134720,2021,5074,12.54
1400000US06037134801,6037134801,2021,3155,12.53
1400000US06037134802,6037134802,2021,3244,12.53
1400000US06037134901,6037134901,2021,3140,12.76
1400000US06037134904,6037134904,2021,4043,11.94
1400000US06037134905,6037134905,2021,4552,12.04
1400000US06037134906,6037134906,2021,2136,11.94
1400000US06037134907,6037134907,2021,4783,11.94
1400000US06037135102,6037135102,2021,3726,11.07
1400000US06037135111,6037135111,2021,3313,11.31
1400000US06037135113,6037135113,2021,3485,11.34
1400000US06037135115,6037135115,2021,1341,11.69
1400000US06037135116,6037135116,2021,3765,11.69
1400000US06037135201,6037135201,2021,2788,10.96
1400000US06037135202,6037135202,2021,4708,10.79
1400000US06037135204,6037135204,2021,3101,10.4
1400000US06037135205,6037135205,2021,4414,10.4
1400000US06037137103,6037137103,2021,5382,11.56
1400000US06037137104,6037137104,2021,2754,12.06
1400000US06037137202,6037137202,2021,2627,11.12
1400000US06037137203,6037137203,2021,3394,11.12
1400000US06037137301,6037137301,2021,2271,10.81
1400000US06037137302,6037137302,2021,4449,10.52
1400000US06037137401,6037137401,2021,4299,11.18
1400000US06037137402,6037137402,2021,5365,10.89
1400000US06037137501,6037137501,2021,4915,12.01
1400000US06037137502,6037137502,2021,4549,11.56
1400000US06037137504,6037137504,2021,2155,11.65
1400000US06037138000,6037138000,2021,4780,11.37
1400000US06037139001,6037139001,2021,5639,12.93
1400000US06037139200,6037139200,2021,5662,13.05
1400000US06037139301,6037139301,2021,4445,12.62
1400000US06037139302,6037139302,2021,5000,13.04
1400000US06037139303,6037139303,2021,4260,13.04
1400000US06037139401,6037139401,2021,2706,12.6
1400000US06037139402,6037139402,2021,2899,12.58
1400000US06037139502,6037139502,2021,2917,12.35
1400000US06037139504,6037139504,2021,3998,12.67
1400000US06037139505,6037139505,2021,2861,12.67
1400000US06037139506,6037139506,2021,3085,12.67
1400000US06037139600,6037139600,2021,5060,12.45
1400000US06037139701,6037139701,2021,5320,12.1
1400000US06037139703,6037139703,2021,2861,11.88
1400000US06037139704,6037139704,2021,4358,11.75
1400000US06037139705,6037139705,2021,2088,11.75
1400000US06037139801,6037139801,2021,3488,11.97
1400000US06037139802,6037139802,2021,4126,11.75
1400000US06037141101,6037141101,2021,4674,11.6
1400000US06037141102,6037141102,2021,3074,11.63
1400000US06037141201,6037141201,2021,4583,11.74
1400000US06037141202,6037141202,2021,2674,11.65
1400000US06037141303,6037141303,2021,3477,11.8
1400000US06037141304,6037141304,2021,2995,11.8
1400000US06037141305,6037141305,2021,3270,11.8
1400000US06037141306,6037141306,2021,2810,11.8
1400000US06037141400,6037141400,2021,5044,11.94
1400000US06037141500,6037141500,2021,2927,11.67
1400000US06037141600,6037141600,2021,4228,11.57
1400000US06037141700,6037141700,2021,3161,11.47
1400000US06037143101,6037143101,2021,3385,11.59
1400000US06037143102,6037143102,2021,967,11.59
1400000US06037143200,6037143200,2021,4085,11.49
1400000US06037143301,6037143301,2021,2325,11.55
1400000US06037143302,6037143302,2021,4161,11.55
1400000US06037143401,6037143401,2021,4453,11.55
1400000US06037143402,6037143402,2021,2602,11.55
1400000US06037143500,6037143500,2021,5482,11.56
1400000US06037143602,6037143602,2021,4769,11.44
1400000US06037143603,6037143603,2021,2392,11.53
1400000US06037143605,6037143605,2021,2181,11.53
1400000US06037143606,6037143606,2021,1539,11.53
1400000US06037143700,6037143700,2021,3685,11.58
1400000US06037143801,6037143801,2021,3167,11.45
1400000US06037143802,6037143802,2021,2577,11.45
1400000US06037143901,6037143901,2021,4069,11.43
1400000US06037143902,6037143902,2021,2766,11.4
1400000US06037181000,6037181000,2021,6458,11.55
1400000US06037181300,6037181300,2021,4059,11.73
1400000US06037181400,6037181400,2021,4943,11.66
1400000US06037181500,6037181500,2021,3956,11.58
1400000US06037181600,6037181600,2021,4631,11.59
1400000US06037183101,6037183101,2021,3323,11.43
1400000US06037183103,6037183103,2021,4355,11.5
1400000US06037183104,6037183104,2021,2122,11.5
1400000US06037183220,6037183220,2021,4155,11.55
1400000US06037183221,6037183221,2021,3522,11.55
1400000US06037183222,6037183222,2021,3493,11.56
1400000US06037183300,6037183300,2021,3487,11.7
1400000US06037183401,6037183401,2021,2531,11.78
1400000US06037183402,6037183402,2021,3006,11.74
1400000US06037183510,6037183510,2021,2577,11.78
1400000US06037183520,6037183520,2021,3758,11.78
1400000US06037183610,6037183610,2021,3215,11.78
1400000US06037183620,6037183620,2021,3111,11.64
1400000US06037183701,6037183701,2021,3720,11.68
1400000US06037183702,6037183702,2021,2775,11.68
1400000US06037183810,6037183810,2021,4163,11.83
1400000US06037183820,6037183820,2021,3445,11.83
1400000US06037185101,6037185101,2021,2172,11.9
1400000US06037185102,6037185102,2021,3898,11.9
1400000US06037185202,6037185202,2021,3627,12.15
1400000US06037185203,6037185203,2021,3566,12.22
1400000US06037185204,6037185204,2021,1921,12.01
1400000US06037185310,6037185310,2021,3131,12.46
1400000US06037185320,6037185320,2021,2820,12.46
1400000US06037186100,6037186100,2021,4985,11.81
1400000US06037186201,6037186201,2021,3201,11.74
1400000US06037186202,6037186202,2021,2007,11.84
1400000US06037186203,6037186203,2021,3416,11.78
1400000US06037186301,6037186301,2021,2906,11.81
1400000US06037186302,6037186302,2021,5096,11.89
1400000US06037186401,6037186401,2021,3489,11.98
1400000US06037186403,6037186403,2021,2698,11.94
1400000US06037186404,6037186404,2021,2631,12.05
1400000US06037187101,6037187101,2021,3438,11.97
1400000US06037187102,6037187102,2021,3739,12.24
1400000US06037187200,6037187200,2021,2963,12.07
1400000US06037187300,6037187300,2021,3597,12.09
1400000US06037188100,6037188100,2021,3918,11.9
1400000US06037188201,6037188201,2021,3473,12
1400000US06037188202,6037188202,2021,2426,11.95
1400000US06037188300,6037188300,2021,3800,11.97
1400000US06037189101,6037189101,2021,2521,11.99
1400000US06037189102,6037189102,2021,3356,11.93
1400000US06037189201,6037189201,2021,3216,11.99
1400000US06037189202,6037189202,2021,2396,11.93
1400000US06037189300,6037189300,2021,3117,11.9
1400000US06037189400,6037189400,2021,3164,11.74
1400000US06037189501,6037189501,2021,2421,11.97
1400000US06037189502,6037189502,2021,1759,11.97
1400000US06037189600,6037189600,2021,3890,11.78
1400000US06037189702,6037189702,2021,2201,11.78
1400000US06037189703,6037189703,2021,2544,11.58
1400000US06037189704,6037189704,2021,723,11.58
1400000US06037189801,6037189801,2021,2158,11.74
1400000US06037189802,6037189802,2021,1675,11.74
1400000US06037189903,6037189903,2021,2089,11.77
1400000US06037189904,6037189904,2021,2435,11.77
1400000US06037189905,6037189905,2021,2432,11.77
1400000US06037189906,6037189906,2021,2984,11.92
1400000US06037189907,6037189907,2021,2387,11.92
1400000US06037190101,6037190101,2021,1664,11.92
1400000US06037190102,6037190102,2021,2789,11.92
1400000US06037190201,6037190201,2021,2632,11.97
1400000US06037190202,6037190202,2021,3225,11.99
1400000US06037190302,6037190302,2021,3311,12
1400000US06037190303,6037190303,2021,2258,12
1400000US06037190401,6037190401,2021,2977,11.99
1400000US06037190402,6037190402,2021,2372,11.99
1400000US06037190510,6037190510,2021,4051,12
1400000US06037190520,6037190520,2021,3979,11.99
1400000US06037190701,6037190701,2021,1849,11.91
1400000US06037190702,6037190702,2021,836,11.91
1400000US06037190801,6037190801,2021,2682,11.98
1400000US06037190802,6037190802,2021,2982,11.91
1400000US06037190901,6037190901,2021,4587,12.01
1400000US06037190902,6037190902,2021,3518,11.88
1400000US06037191000,6037191000,2021,4454,11.98
1400000US06037191110,6037191110,2021,3478,12.01
1400000US06037191120,6037191120,2021,3900,12.01
1400000US06037191201,6037191201,2021,4414,12.01
1400000US06037191203,6037191203,2021,2383,12.01
1400000US06037191204,6037191204,2021,2033,12.01
1400000US06037191301,6037191301,2021,2224,12.03
1400000US06037191302,6037191302,2021,1947,12.03
1400000US06037191410,6037191410,2021,4646,12.08
1400000US06037191420,6037191420,2021,3096,12.08
1400000US06037191500,6037191500,2021,5931,12.06
1400000US06037191610,6037191610,2021,4237,12.01
1400000US06037191620,6037191620,2021,2532,12.01
1400000US06037191710,6037191710,2021,2937,11.88
1400000US06037191720,6037191720,2021,3224,12.01
1400000US06037191810,6037191810,2021,3367,11.9
1400000US06037191820,6037191820,2021,3176,11.9
1400000US06037191901,6037191901,2021,3060,11.89
1400000US06037191902,6037191902,2021,2788,11.89
1400000US06037192001,6037192001,2021,2370,11.89
1400000US06037192002,6037192002,2021,2597,11.77
1400000US06037192300,6037192300,2021,2463,11.85
1400000US06037192410,6037192410,2021,3700,11.92
1400000US06037192420,6037192420,2021,4280,12.01
1400000US06037192510,6037192510,2021,3840,12.01
1400000US06037192520,6037192520,2021,5269,12.05
1400000US06037192610,6037192610,2021,3703,12.1
1400000US06037192620,6037192620,2021,3542,12.1
1400000US06037192700,6037192700,2021,3449,12.16
1400000US06037194101,6037194101,2021,3277,11.56
1400000US06037194102,6037194102,2021,3189,11.55
1400000US06037194200,6037194200,2021,3524,11.59
1400000US06037194300,6037194300,2021,3262,11.5
1400000US06037194401,6037194401,2021,2391,11.73
1400000US06037194402,6037194402,2021,3579,11.71
1400000US06037194500,6037194500,2021,2019,11.73
1400000US06037195100,6037195100,2021,4978,12
1400000US06037195201,6037195201,2021,3128,12
1400000US06037195202,6037195202,2021,3304,12.01
1400000US06037195300,6037195300,2021,3089,12.03
1400000US06037195400,6037195400,2021,4451,12.14
1400000US06037195500,6037195500,2021,5548,12.18
1400000US06037195600,6037195600,2021,2948,12.22
1400000US06037195710,6037195710,2021,4487,12.22
1400000US06037195720,6037195720,2021,2000,12.22
1400000US06037195802,6037195802,2021,2691,12.19
1400000US06037195803,6037195803,2021,2634,12.22
1400000US06037195804,6037195804,2021,2533,12.22
1400000US06037195901,6037195901,2021,2237,12.08
1400000US06037195902,6037195902,2021,1864,12.08
1400000US06037195903,6037195903,2021,2008,12.16
1400000US06037197200,6037197200,2021,3909,12.26
1400000US06037197300,6037197300,2021,4052,12.36
1400000US06037197410,6037197410,2021,4331,12.11
1400000US06037197420,6037197420,2021,3564,12.25
1400000US06037197500,6037197500,2021,3914,12.38
1400000US06037197600,6037197600,2021,2166,12.54
1400000US06037197700,6037197700,2021,5332,12.8
1400000US06037199001,6037199001,2021,863,12.97
1400000US06037199002,6037199002,2021,4699,12.95
1400000US06037199110,6037199110,2021,2705,12.29
1400000US06037199120,6037199120,2021,4511,12.44
1400000US06037199201,6037199201,2021,3660,12.7
1400000US06037199202,6037199202,2021,3155,12.16
1400000US06037199300,6037199300,2021,4202,11.83
1400000US06037199400,6037199400,2021,4759,12.31
1400000US06037199700,6037199700,2021,3063,13.26
1400000US06037199801,6037199801,2021,3088,12.7
1400000US06037199802,6037199802,2021,2740,12.7
1400000US06037199900,6037199900,2021,2692,12.74
1400000US06037201110,6037201110,2021,2147,11.62
1400000US06037201120,6037201120,2021,4144,11.86
1400000US06037201200,6037201200,2021,2893,11.93
1400000US06037201301,6037201301,2021,4498,12.08
1400000US06037201302,6037201302,2021,4341,11.8
1400000US06037201401,6037201401,2021,4693,12.11
1400000US06037201402,6037201402,2021,4995,12.2
1400000US06037201501,6037201501,2021,5367,11.94
1400000US06037201503,6037201503,2021,3364,11.97
1400000US06037201504,6037201504,2021,2302,11.97
1400000US06037201601,6037201601,2021,2323,11.98
1400000US06037201602,6037201602,2021,2960,11.97
1400000US06037201700,6037201700,2021,5514,12.08
