geoid,geoid20,year,denom_total_pop,pollution_burden_score
1400000US06037134802,6037134802,2021,3244,6.4299998
1400000US06037134901,6037134901,2021,3140,6.4299998
1400000US06037134904,6037134904,2021,4043,5.7800002
1400000US06037134905,6037134905,2021,4552,6.5900002
1400000US06037134906,6037134906,2021,2136,6.9699998
1400000US06037134907,6037134907,2021,4783,6.9699998
1400000US06037135102,6037135102,2021,3726,5.6999998
1400000US06037135111,6037135111,2021,3313,6.5
1400000US06037135113,6037135113,2021,3485,5.2800002
1400000US06037135115,6037135115,2021,1341,6.6199999
1400000US06037135116,6037135116,2021,3765,6.6199999
1400000US06037135201,6037135201,2021,2788,5.25
1400000US06037135202,6037135202,2021,4708,4.7600002
1400000US06037135204,6037135204,2021,3101,3.6900001
1400000US06037135205,6037135205,2021,4414,3.6900001
1400000US06037137103,6037137103,2021,5382,6.3800001
1400000US06037137104,6037137104,2021,2754,7.25
1400000US06037137202,6037137202,2021,2627,6.4099998
1400000US06037137203,6037137203,2021,3394,6.4099998
1400000US06037137301,6037137301,2021,2271,4.1399999
1400000US06037137302,6037137302,2021,4449,3.8099999
1400000US06037137401,6037137401,2021,4299,5.6100001
1400000US06037137402,6037137402,2021,5365,6.1999998
1400000US06037137501,6037137501,2021,4915,6.3499999
1400000US06037137502,6037137502,2021,4549,6.3200002
1400000US06037137504,6037137504,2021,2155,3.3599999
1400000US06037138000,6037138000,2021,4780,3.6500001
1400000US06037139001,6037139001,2021,5639,7.2199998
1400000US06037139200,6037139200,2021,5662,7.5799999
1400000US06037139301,6037139301,2021,4445,8.5500002
1400000US06037139302,6037139302,2021,5000,7.7800002
1400000US06037139303,6037139303,2021,4260,7.27
1400000US06037139401,6037139401,2021,2706,7.1799998
1400000US06037139402,6037139402,2021,2899,7.1100001
1400000US06037139502,6037139502,2021,2917,7.1199999
1400000US06037139504,6037139504,2021,3998,7.0900002
1400000US06037139505,6037139505,2021,2861,6.2600002
1400000US06037139506,6037139506,2021,3085,6.2600002
1400000US06037139600,6037139600,2021,5060,6.7399998
1400000US06037139701,6037139701,2021,5320,6.98
1400000US06037139703,6037139703,2021,2861,4.5599999
1400000US06037139704,6037139704,2021,4358,6
1400000US06037139705,6037139705,2021,2088,6
1400000US06037139801,6037139801,2021,3488,4.1799998
1400000US06037139802,6037139802,2021,4126,3.5699999
1400000US06037141101,6037141101,2021,4674,6.48
1400000US06037141102,6037141102,2021,3074,6.1799998
1400000US06037141201,6037141201,2021,4583,6.3800001
1400000US06037141202,6037141202,2021,2674,5.1500001
1400000US06037141303,6037141303,2021,3477,6.1300001
1400000US06037141304,6037141304,2021,2995,6.2199998
1400000US06037141305,6037141305,2021,3270,6.27
1400000US06037141306,6037141306,2021,2810,6.2800002
1400000US06037141400,6037141400,2021,5044,6.9499998
1400000US06037141500,6037141500,2021,2927,6.3800001
1400000US06037141600,6037141600,2021,4228,5.6700001
1400000US06037141700,6037141700,2021,3161,4.5500002
1400000US06037143101,6037143101,2021,3385,7.8099999
1400000US06037143102,6037143102,2021,967,7.8099999
1400000US06037143200,6037143200,2021,4085,7.3099999
1400000US06037143301,6037143301,2021,2325,6.0799999
1400000US06037143302,6037143302,2021,4161,6.0799999
1400000US06037143401,6037143401,2021,4453,6.3400002
1400000US06037143402,6037143402,2021,2602,6.3400002
1400000US06037143500,6037143500,2021,5482,6.0700002
1400000US06037143602,6037143602,2021,4769,5.1799998
1400000US06037143603,6037143603,2021,2392,7.4099998
1400000US06037143605,6037143605,2021,2181,7.5300002
1400000US06037143606,6037143606,2021,1539,7.5300002
1400000US06037143700,6037143700,2021,3685,7.2800002
1400000US06037143801,6037143801,2021,3167,6.6500001
1400000US06037143802,6037143802,2021,2577,6.6500001
1400000US06037143901,6037143901,2021,4069,5.21
1400000US06037143902,6037143902,2021,2766,4.7800002
1400000US06037181000,6037181000,2021,6458,7.0500002
1400000US06037181300,6037181300,2021,4059,6.8200002
1400000US06037181400,6037181400,2021,4943,5.7800002
1400000US06037181500,6037181500,2021,3956,5.1599998
1400000US06037181600,6037181600,2021,4631,5.2800002
1400000US06037183101,6037183101,2021,3323,5.2199998
1400000US06037183103,6037183103,2021,4355,5.8899999
1400000US06037183104,6037183104,2021,2122,5.0100002
1400000US06037183220,6037183220,2021,4155,5.25
1400000US06037183221,6037183221,2021,3522,4.8800001
1400000US06037183222,6037183222,2021,3493,4.8200002
1400000US06037183300,6037183300,2021,3487,4.4200001
1400000US06037183401,6037183401,2021,2531,4.3099999
1400000US06037183402,6037183402,2021,3006,5.4000001
1400000US06037183510,6037183510,2021,2577,4.6100001
1400000US06037183520,6037183520,2021,3758,4.8400002
1400000US06037183610,6037183610,2021,3215,4.9000001
1400000US06037183620,6037183620,2021,3111,5.6700001
1400000US06037183701,6037183701,2021,3720,5.8099999
1400000US06037183702,6037183702,2021,2775,5.8800001
1400000US06037183810,6037183810,2021,4163,5.4499998
1400000US06037183820,6037183820,2021,3445,5.7399998
1400000US06037185101,6037185101,2021,2172,5.5900002
1400000US06037185102,6037185102,2021,3898,5.5900002
1400000US06037185202,6037185202,2021,3627,6.4299998
1400000US06037185203,6037185203,2021,3566,7.23
1400000US06037185204,6037185204,2021,1921,5.3600001
1400000US06037185310,6037185310,2021,3131,7.4200001
1400000US06037185320,6037185320,2021,2820,8.5600004
1400000US06037186100,6037186100,2021,4985,6.2600002
1400000US06037186201,6037186201,2021,3201,5.2199998
1400000US06037186202,6037186202,2021,2007,5.3499999
1400000US06037186203,6037186203,2021,3416,4.0799999
1400000US06037186301,6037186301,2021,2906,7.73
1400000US06037186302,6037186302,2021,5096,7
1400000US06037186401,6037186401,2021,3489,8.5900002
1400000US06037186403,6037186403,2021,2698,8.3699999
1400000US06037186404,6037186404,2021,2631,6.8899999
1400000US06037187101,6037187101,2021,3438,8.5200005
1400000US06037187102,6037187102,2021,3739,9.25
1400000US06037187200,6037187200,2021,2963,9.1800003
1400000US06037187300,6037187300,2021,3597,8.1899996
1400000US06037188100,6037188100,2021,3918,9.3199997
