geoid,name,B99021001,"B99021001, Error",B99021002,"B99021002, Error",B99021003,"B99021003, Error"
14000US06029003216,"Census Tract 32.16, Kern, CA",3981,-1,119,-1,3862,-1
14000US06029003217,"Census Tract 32.17, Kern, CA",3834,-1,52,-1,3782,-1
14000US06029003218,"Census Tract 32.18, Kern, CA",5685,-1,59,-1,5626,-1
14000US06029003219,"Census Tract 32.19, Kern, CA",5916,-1,0,-1,5916,-1
14000US06029003220,"Census Tract 32.20, Kern, CA",4227,-1,252,-1,3975,-1
14000US06029003221,"Census Tract 32.21, Kern, CA",2870,-1,275,-1,2595,-1
14000US06029003222,"Census Tract 32.22, Kern, CA",2213,-1,0,-1,2213,-1
14000US06029003303,"Census Tract 33.03, Kern, CA",1542,-1,24,-1,1518,-1
14000US06029003304,"Census Tract 33.04, Kern, CA",2559,-1,33,-1,2526,-1
14000US06029003305,"Census Tract 33.05, Kern, CA",3779,-1,158,-1,3621,-1
14000US06029003307,"Census Tract 33.07, Kern, CA",2265,-1,16,-1,2249,-1
14000US06029003308,"Census Tract 33.08, Kern, CA",2021,-1,0,-1,2021,-1
14000US06029003400,"Census Tract 34, Kern, CA",4327,-1,95,-1,4232,-1
14000US06029003500,"Census Tract 35, Kern, CA",8189,-1,45,-1,8144,-1
14000US06029003600,"Census Tract 36, Kern, CA",4082,-1,120,-1,3962,-1
14000US06029003806,"Census Tract 38.06, Kern, CA",5398,-1,152,-1,5246,-1
14000US06029003807,"Census Tract 38.07, Kern, CA",3704,-1,30,-1,3674,-1
14000US06029003808,"Census Tract 38.08, Kern, CA",4615,-1,171,-1,4444,-1
14000US06029003810,"Census Tract 38.10, Kern, CA",2491,-1,5,-1,2486,-1
14000US06029003811,"Census Tract 38.11, Kern, CA",2358,-1,26,-1,2332,-1
14000US06029003812,"Census Tract 38.12, Kern, CA",4887,-1,31,-1,4856,-1
14000US06029003814,"Census Tract 38.14, Kern, CA",6834,-1,0,-1,6834,-1
14000US06029003815,"Census Tract 38.15, Kern, CA",6219,-1,372,-1,5847,-1
14000US06029003816,"Census Tract 38.16, Kern, CA",3974,-1,0,-1,3974,-1
14000US06029003817,"Census Tract 38.17, Kern, CA",3707,-1,1,-1,3706,-1
14000US06029003818,"Census Tract 38.18, Kern, CA",5452,-1,24,-1,5428,-1
14000US06029003819,"Census Tract 38.19, Kern, CA",4619,-1,0,-1,4619,-1
14000US06029003820,"Census Tract 38.20, Kern, CA",2732,-1,0,-1,2732,-1
14000US06029003821,"Census Tract 38.21, Kern, CA",4418,-1,28,-1,4390,-1
14000US06029003822,"Census Tract 38.22, Kern, CA",3004,-1,119,-1,2885,-1
14000US06029003823,"Census Tract 38.23, Kern, CA",4154,-1,0,-1,4154,-1
14000US06029003824,"Census Tract 38.24, Kern, CA",2652,-1,0,-1,2652,-1
14000US06029003825,"Census Tract 38.25, Kern, CA",2879,-1,61,-1,2818,-1
14000US06029003826,"Census Tract 38.26, Kern, CA",2723,-1,17,-1,2706,-1
14000US06029003827,"Census Tract 38.27, Kern, CA",2366,-1,12,-1,2354,-1
14000US06029003900,"Census Tract 39, Kern, CA",3230,-1,85,-1,3145,-1
14000US06029004001,"Census Tract 40.01, Kern, CA",4578,-1,85,-1,4493,-1
14000US06029004002,"Census Tract 40.02, Kern, CA",4074,-1,256,-1,3818,-1
14000US06029004101,"Census Tract 41.01, Kern, CA",6054,-1,49,-1,6005,-1
14000US06029004102,"Census Tract 41.02, Kern, CA",5033,-1,263,-1,4770,-1
14000US06029004302,"Census Tract 43.02, Kern, CA",5469,-1,13,-1,5456,-1
14000US06029004303,"Census Tract 43.03, Kern, CA",5282,-1,19,-1,5263,-1
14000US06029004304,"Census Tract 43.04, Kern, CA",2542,-1,172,-1,2370,-1
14000US06029004305,"Census Tract 43.05, Kern, CA",1808,-1,172,-1,1636,-1
14000US06029004402,"Census Tract 44.02, Kern, CA",4958,-1,207,-1,4751,-1
14000US06029004403,"Census Tract 44.03, Kern, CA",2928,-1,0,-1,2928,-1
14000US06029004404,"Census Tract 44.04, Kern, CA",4488,-1,13,-1,4475,-1
14000US06029004500,"Census Tract 45, Kern, CA",2864,-1,6,-1,2858,-1
14000US06029004601,"Census Tract 46.01, Kern, CA",4401,-1,45,-1,4356,-1
14000US06029004603,"Census Tract 46.03, Kern, CA",3174,-1,36,-1,3138,-1
14000US06029004605,"Census Tract 46.05, Kern, CA",3204,-1,21,-1,3183,-1
14000US06029004606,"Census Tract 46.06, Kern, CA",2566,-1,81,-1,2485,-1
14000US06029004607,"Census Tract 46.07, Kern, CA",6037,-1,0,-1,6037,-1
14000US06029004702,"Census Tract 47.02, Kern, CA",3660,-1,18,-1,3642,-1
14000US06029004703,"Census Tract 47.03, Kern, CA",5130,-1,99,-1,5031,-1
14000US06029004704,"Census Tract 47.04, Kern, CA",5910,-1,121,-1,5789,-1
14000US06029004801,"Census Tract 48.01, Kern, CA",4236,-1,0,-1,4236,-1
14000US06029004802,"Census Tract 48.02, Kern, CA",6118,-1,46,-1,6072,-1
14000US06029004901,"Census Tract 49.01, Kern, CA",6348,-1,61,-1,6287,-1
14000US06029004903,"Census Tract 49.03, Kern, CA",5176,-1,446,-1,4730,-1
14000US06029004904,"Census Tract 49.04, Kern, CA",3462,-1,120,-1,3342,-1
14000US06029005003,"Census Tract 50.03, Kern, CA",3599,-1,40,-1,3559,-1
14000US06029005005,"Census Tract 50.05, Kern, CA",3022,-1,128,-1,2894,-1
14000US06029005006,"Census Tract 50.06, Kern, CA",3978,-1,168,-1,3810,-1
14000US06029005103,"Census Tract 51.03, Kern, CA",2340,-1,88,-1,2252,-1
14000US06029005104,"Census Tract 51.04, Kern, CA",4137,-1,28,-1,4109,-1
14000US06029005203,"Census Tract 52.03, Kern, CA",4440,-1,12,-1,4428,-1
14000US06029005205,"Census Tract 52.05, Kern, CA",3785,-1,77,-1,3708,-1
14000US06029005206,"Census Tract 52.06, Kern, CA",2540,-1,78,-1,2462,-1
14000US06029005207,"Census Tract 52.07, Kern, CA",1839,-1,0,-1,1839,-1
14000US06029005208,"Census Tract 52.08, Kern, CA",2574,-1,13,-1,2561,-1
14000US06029005300,"Census Tract 53, Kern, CA",2264,-1,17,-1,2247,-1
14000US06029005402,"Census Tract 54.02, Kern, CA",5127,-1,393,-1,4734,-1
14000US06029005405,"Census Tract 54.05, Kern, CA",2471,-1,0,-1,2471,-1
14000US06029005406,"Census Tract 54.06, Kern, CA",3719,-1,47,-1,3672,-1
14000US06029005407,"Census Tract 54.07, Kern, CA",3505,-1,161,-1,3344,-1
14000US06029005408,"Census Tract 54.08, Kern, CA",5183,-1,13,-1,5170,-1
14000US06029005409,"Census Tract 54.09, Kern, CA",4498,-1,31,-1,4467,-1
14000US06029005410,"Census Tract 54.10, Kern, CA",1833,-1,45,-1,1788,-1
14000US06029005508,"Census Tract 55.08, Kern, CA",4732,-1,45,-1,4687,-1
14000US06029005509,"Census Tract 55.09, Kern, CA",4335,-1,39,-1,4296,-1
14000US06029005510,"Census Tract 55.10, Kern, CA",1614,-1,0,-1,1614,-1
14000US06029005511,"Census Tract 55.11, Kern, CA",4339,-1,65,-1,4274,-1
